birdnet,ebird2021,comment
Abroscopus albogularis,rufwar1,
Abroscopus superciliaris,yebwar1,
Aburria aburri,watgua1,
Acanthagenys rufogularis,spchon1,
Acanthis cabaret,lesred1,
Acanthis flammea,comred,
Acanthis hornemanni,hoared,
Acanthiza chrysorrhoa,yertho1,
Acanthiza pusilla,brotho1,
Acanthorhynchus tenuirostris,easspi1,
Accipiter badius,shikra1,
Accipiter bicolor,bichaw1,
Accipiter cooperii,coohaw,
Accipiter fasciatus,brogos1,
Accipiter gentilis,norgos,
Accipiter nisus,eurspa1,
Accipiter striatus,shshaw,
Accipiter tachiro,afrgos1,
Acridotheres cristatellus,cremyn,
Acridotheres fuscus,junmyn1,
Acridotheres tristis,commyn,
Acrocephalus agricola,padwar1,
Acrocephalus arundinaceus,grrwar1,
Acrocephalus australis,aurwar1,
Acrocephalus bistrigiceps,bbrwar1,
Acrocephalus dumetorum,blrwar1,
Acrocephalus gracilirostris,leswar1,
Acrocephalus melanopogon,mouwar1,
Acrocephalus orientalis,orrwar1,
Acrocephalus palustris,marwar3,
Acrocephalus schoenobaenus,sedwar1,
Acrocephalus scirpaceus,eurwar1,
Acrocephalus stentoreus,clrwar1,
Acropternis orthonyx,ocetap1,
Actinodura strigula,chtmin1,
Actitis hypoleucos,comsan,
Actitis macularius,sposan,
Adelomyia melanogenys,spehum1,
Aechmophorus clarkii,clagre,
Aechmophorus occidentalis,wesgre,
Aegithalos caudatus,lottit1,
Aegithalos concinnus,blttit2,
Aegithina tiphia,comior1,
Aegolius acadicus,nswowl,
Aegolius funereus,borowl,
Aegotheles cristatus,auonig1,
Aeronautes saxatalis,whtswi,
Aethopyga christinae,fotsun1,
Aethopyga nipalensis,grtsun1,
Aethopyga siparaja,eacsun1,
Agapornis roseicollis,peflov,
Agelaioides badius,bawcow4,
Agelaius phoeniceus,rewbla,
Agelaius tricolor,tribla,
Agelasticus thilius,yewbla2,
Ailuroedus crassirostris,grecat1,
Aimophila rufescens,russpa1,
