ebird2021,bird_orders,comment
aakspa1,passeriformes,
abbbab1,passeriformes,
abbboo2,suliformes,
abbsta2,passeriformes,
abbwar1,passeriformes,
abcwin1,passeriformes,
abdsto1,ciconiiformes,
abecis1,passeriformes,
abethr1,passeriformes,
abetow,passeriformes,
abgthr1,passeriformes,
abhori1,passeriformes,
absbil1,bucerotiformes,
absfin1,passeriformes,
abttyr1,passeriformes,
abycat1,passeriformes,
abylon1,passeriformes,
abynig1,caprimulgiformes,
abyrol2,coraciiformes,
abysis1,passeriformes,
abyslf1,passeriformes,
abythr1,passeriformes,
abywhe1,passeriformes,
abywoo1,piciformes,
acafly,passeriformes,
acowoo,piciformes,
acrant1,passeriformes,
acrtot1,passeriformes,
adepen1,sphenisciformes,
adewar1,passeriformes,
adtdov1,columbiformes,
afbduc1,anseriformes,
afbfly1,passeriformes,
afbowl1,strigiformes,
afbtit2,passeriformes,
afbwar1,passeriformes,
afcdov1,columbiformes,
afcfly1,passeriformes,
afdfly1,passeriformes,
afdwar1,passeriformes,
afecuc1,cuculiformes,
afepig1,columbiformes,
affeag1,accipitriformes,
afffin,passeriformes,
afffly1,passeriformes,
afgfly1,passeriformes,
afghor1,bucerotiformes,
afgori2,passeriformes,
afgowl1,strigiformes,
afgsno1,passeriformes,
afgwea1,passeriformes,
afhbab1,passeriformes,
afhbab3,passeriformes,
afhhaw1,accipitriformes,
afmdov1,columbiformes,
afmhar1,accipitriformes,
afmwea,passeriformes,
afpfly1,passeriformes,
afphor1,bucerotiformes,
afpkin1,coraciiformes,
afpsta1,passeriformes,
afpswi1,caprimulgiformes,
afptit1,passeriformes,
afpwag1,passeriformes,
afrbro1,passeriformes,
afrcit1,passeriformes,
afrcra1,gruiformes,
afrcuc1,cuculiformes,
afrcuh1,accipitriformes,
afrfin1,gruiformes,
afrgos1,accipitriformes,
afrgrp1,columbiformes,
afrhae1,accipitriformes,
afrhob1,falconiformes,
afrjac1,charadriiformes,
afrmar2,passeriformes,
afrope1,ciconiiformes,
afroys1,charadriiformes,
