bird_genera,bird_families,comment
abeillia,trochilidae,
abroscopus,scotocercidae,
aburria,cracidae,
acanthagenys,meliphagidae,
acanthidops,thraupidae,
acanthis,fringillidae,
acanthisitta,acanthisittidae,
acanthiza,acanthizidae,
acanthorhynchus,meliphagidae,
acanthornis,acanthizidae,
accipiter,accipitridae,
aceros,bucerotidae,
achaetops,macrosphenidae,
acridotheres,sturnidae,
acrobatornis,furnariidae,
acrocephalus,acrocephalidae,
acropternis,rhinocryptidae,
acryllium,numididae,
actenoides,alcedinidae,
actinodura,leiothrichidae,
actitis,scolopacidae,
actophilornis,jacanidae,
adelomyia,trochilidae,
aechmophorus,podicipedidae,
aegithalos,aegithalidae,
aegithina,aegithinidae,
aegolius,strigidae,
aegotheles,aegothelidae,
aegypius,accipitridae,
aepypodius,megapodiidae,
aerodramus,apodidae,
aeronautes,apodidae,
aethia,alcidae,
aethopyga,nectariniidae,
afropavo,phasianidae,
agamia,ardeidae,
agapornis,psittaculidae,
agelaioides,icteridae,
agelaius,icteridae,
agelastes,numididae,
agelasticus,icteridae,
aglaeactis,trochilidae,
aglaiocercus,trochilidae,
agraphospiza,fringillidae,
agricola,muscicapidae,
agriornis,tyrannidae,
agropsar,sturnidae,
aidemosyne,estrildidae,
ailuroedus,ptilonorhynchidae,
aimophila,passerellidae,
aix,anatidae,
akialoa,fringillidae,
akletos,thamnophilidae,
alaemon,alaudidae,
alauda,alaudidae,
alaudala,alaudidae,
alca,alcidae,
alcedo,alcedinidae,
alcippe,leiothrichidae,
aleadryas,oreoicidae,
alectoris,phasianidae,
alectroenas,columbidae,
alectrurus,tyrannidae,
alectura,megapodiidae,
alethe,muscicapidae,
alipiopsitta,psittacidae,
alisterus,psittaculidae,
alle,alcidae,
allenia,mimidae,
alopecoenas,columbidae,
alophoixus,pycnonotidae,
alopochelidon,hirundinidae,
alopochen,anatidae,
amadina,estrildidae,
amalocichla,petroicidae,
amandava,estrildidae,
amaurolimnas,rallidae,
