ioc_12_2,clements
struthio camelus,struthio camelus
struthio molybdophanes,struthio molybdophanes
rhea americana,rhea americana
rhea pennata,rhea pennata
apteryx australis,apteryx australis
apteryx mantelli,apteryx mantelli
apteryx rowi,apteryx rowi
apteryx owenii,apteryx owenii
apteryx haastii,apteryx haastii
casuarius casuarius,casuarius casuarius
casuarius bennetti,casuarius bennetti
casuarius unappendiculatus,casuarius unappendiculatus
dromaius novaehollandiae,dromaius novaehollandiae
tinamus tao,tinamus tao
tinamus solitarius,tinamus solitarius
tinamus osgoodi,tinamus osgoodi
tinamus major,tinamus major
tinamus guttatus,tinamus guttatus
nothocercus bonapartei,nothocercus bonapartei
nothocercus julius,nothocercus julius
nothocercus nigrocapillus,nothocercus nigrocapillus
crypturellus berlepschi,crypturellus berlepschi
crypturellus cinereus,crypturellus cinereus
crypturellus soui,crypturellus soui
crypturellus ptaritepui,crypturellus ptaritepui
crypturellus obsoletus,crypturellus obsoletus
crypturellus undulatus,crypturellus undulatus
crypturellus transfasciatus,crypturellus transfasciatus
crypturellus strigulosus,crypturellus strigulosus
crypturellus duidae,crypturellus duidae
crypturellus erythropus,crypturellus erythropus
crypturellus noctivagus,crypturellus noctivagus
crypturellus atrocapillus,crypturellus atrocapillus
crypturellus cinnamomeus,crypturellus cinnamomeus
crypturellus boucardi,crypturellus boucardi
crypturellus kerriae,crypturellus kerriae
crypturellus variegatus,crypturellus variegatus
crypturellus brevirostris,crypturellus brevirostris
crypturellus bartletti,crypturellus bartletti
crypturellus parvirostris,crypturellus parvirostris
crypturellus casiquiare,crypturellus casiquiare
crypturellus tataupa,crypturellus tataupa
rhynchotus rufescens,rhynchotus rufescens
rhynchotus maculicollis,rhynchotus maculicollis
nothoprocta taczanowskii,nothoprocta taczanowskii
nothoprocta ornata,nothoprocta ornata
nothoprocta perdicaria,nothoprocta perdicaria
nothoprocta cinerascens,nothoprocta cinerascens
nothoprocta pentlandii,nothoprocta pentlandii
nothoprocta curvirostris,nothoprocta curvirostris
nothura boraquira,nothura boraquira
nothura minor,nothura minor
nothura darwinii,nothura darwinii
nothura maculosa,nothura maculosa
taoniscus nanus,taoniscus nanus
eudromia elegans,eudromia elegans
eudromia formosa,eudromia formosa
tinamotis pentlandii,tinamotis pentlandii
tinamotis ingoufi,tinamotis ingoufi
anhima cornuta,anhima cornuta
chauna chavaria,chauna chavaria
chauna torquata,chauna torquata
anseranas semipalmata,anseranas semipalmata
dendrocygna viduata,dendrocygna viduata
dendrocygna autumnalis,dendrocygna autumnalis
dendrocygna guttata,dendrocygna guttata
dendrocygna arborea,dendrocygna arborea
dendrocygna bicolor,dendrocygna bicolor
dendrocygna eytoni,dendrocygna eytoni
dendrocygna arcuata,dendrocygna arcuata
dendrocygna javanica,dendrocygna javanica
thalassornis leuconotus,thalassornis leuconotus
cereopsis novaehollandiae,cereopsis novaehollandiae
branta bernicla,branta bernicla
branta ruficollis,branta ruficollis
branta sandvicensis,branta sandvicensis
branta canadensis,branta canadensis
branta leucopsis,branta leucopsis
branta hutchinsii,branta hutchinsii
anser indicus,anser indicus
anser canagicus,anser canagicus
anser rossii,anser rossii
anser caerulescens,anser caerulescens
anser anser,anser anser
anser cygnoides,anser cygnoides
anser fabalis,anser fabalis
anser brachyrhynchus,anser brachyrhynchus
anser serrirostris,anser serrirostris
anser albifrons,anser albifrons
anser erythropus,anser erythropus
coscoroba coscoroba,coscoroba coscoroba
