xenocanto_11_2,ebird2022_species,comment
struthio camelus,ostric2,Exact match
struthio molybdophanes,ostric3,Exact match
rhea americana,grerhe1,Exact match
rhea pennata,lesrhe2,Exact match
apteryx australis,sobkiw1,Exact match
apteryx mantelli,nibkiw1,Exact match
apteryx owenii,liskiw1,Exact match
apteryx haastii,grskiw1,Exact match
casuarius casuarius,soucas1,Exact match
casuarius bennetti,dwacas1,Exact match
casuarius unappendiculatus,norcas1,Exact match
dromaius novaehollandiae,emu1,Exact match
tinamus solitarius,soltin1,Exact match
tinamus osgoodi,blatin1,Exact match
tinamus major,gretin1,Exact match
tinamus guttatus,whttin1,Exact match
nothocercus bonapartei,higtin1,Exact match
nothocercus julius,tabtin1,Exact match
nothocercus nigrocapillus,hootin1,Exact match
crypturellus berlepschi,bertin1,Exact match
crypturellus cinereus,cintin1,Exact match
crypturellus soui,littin1,Exact match
crypturellus ptaritepui,teptin1,Exact match
crypturellus obsoletus,brotin1,Exact match
crypturellus undulatus,undtin1,Exact match
crypturellus transfasciatus,pabtin1,Exact match
crypturellus strigulosus,bratin1,Exact match
crypturellus erythropus,reltin1,Exact match
crypturellus noctivagus,yeltin1,Exact match
crypturellus atrocapillus,blctin1,Exact match
crypturellus cinnamomeus,thitin1,Exact match
crypturellus boucardi,slbtin1,Exact match
crypturellus kerriae,chotin1,Exact match
crypturellus variegatus,vartin1,Exact match
crypturellus brevirostris,rustin1,Exact match
crypturellus bartletti,bartin2,Exact match
crypturellus parvirostris,smbtin1,Exact match
crypturellus casiquiare,bartin1,Exact match
crypturellus tataupa,tattin1,Exact match
rhynchotus rufescens,rewtin1,Exact match
rhynchotus maculicollis,huatin1,Exact match
nothoprocta taczanowskii,tactin1,Exact match
nothoprocta ornata,orntin1,Exact match
nothoprocta perdicaria,chitin1,Exact match
nothoprocta cinerascens,brutin1,Exact match
nothoprocta pentlandii,andtin1,Exact match
nothoprocta curvirostris,cubtin1,Exact match
nothura boraquira,whbnot1,Exact match
nothura minor,lesnot1,Exact match
nothura darwinii,darnot1,Exact match
nothura maculosa,sponot1,Exact match
taoniscus nanus,dwatin1,Exact match
tinamotis pentlandii,puntin1,Exact match
tinamotis ingoufi,pattin1,Exact match
anhima cornuta,horscr1,Exact match
chauna chavaria,norscr1,Exact match
chauna torquata,souscr1,Exact match
anseranas semipalmata,maggoo1,Exact match
thalassornis leuconotus,whbduc1,Exact match
cereopsis novaehollandiae,cabgoo1,Exact match
branta ruficollis,rebgoo1,Exact match
branta canadensis,cangoo,Exact match
branta leucopsis,bargoo,Exact match
branta hutchinsii,cacgoo1,Exact match
anser indicus,bahgoo,Exact match
anser canagicus,empgoo,Exact match
anser rossii,rosgoo,Exact match
anser caerulescens,snogoo,Exact match
anser cygnoides,swagoo1,Exact match
anser brachyrhynchus,pifgoo,Exact match
anser albifrons,gwfgoo,Exact match
anser erythropus,lwfgoo,Exact match
coscoroba coscoroba,cosswa1,Exact match
cygnus atratus,blkswa,Exact match
cygnus melancoryphus,blnswa2,Exact match
cygnus olor,mutswa,Exact match
cygnus buccinator,truswa,Exact match
cygnus columbianus,tunswa,Exact match
cygnus cygnus,whoswa,Exact match
stictonetta naevosa,freduc1,Exact match
hymenolaimus malacorhynchos,bluduc1,Exact match
merganetta armata,torduc1,Exact match
plectropterus gambensis,spwgoo1,Exact match
sarkidiornis sylvicola,comduc3,Exact match
sarkidiornis melanotos,comduc2,Exact match
cyanochen cyanoptera,buwgoo1,Exact match
alopochen aegyptiaca,egygoo,Exact match
chloephaga picta,uplgoo1,Exact match
chloephaga hybrida,kelgoo1,Exact match
chloephaga poliocephala,ashgoo1,Exact match
chloephaga rubidiceps,ruhgoo1,Exact match
tadorna tadorna,comshe,Exact match
tadorna ferruginea,rudshe,Exact match
tadorna cana,soashe1,Exact match
tadorna tadornoides,ausshe1,Exact match
tadorna variegata,parshe1,Exact match
tadorna cristata,creshe1,Exact match
malacorhynchus membranaceus,pieduc1,Exact match
salvadorina waigiuensis,saltea1,Exact match
cairina moschata,musduc,Exact match
asarcornis scutulata,whwduc1,Exact match
pteronetta hartlaubii,harduc1,Exact match
aix sponsa,wooduc,Exact match
aix galericulata,manduc,Exact match
chenonetta jubata,manduc1,Exact match
amazonetta brasiliensis,bratea1,Exact match
callonetta leucophrys,rintea1,Exact match
lophonetta specularioides,creduc1,Exact match
sibirionetta formosa,baitea,Exact match
spatula querquedula,gargan,Exact match
spatula hottentota,hottea1,Exact match
spatula puna,puntea1,Exact match
spatula versicolor,siltea1,Exact match
spatula platalea,redsho1,Exact match
spatula cyanoptera,cintea,Exact match
spatula discors,buwtea,Exact match
